Region,States,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Frequency,Date,longitude,latitude
West,Maharashtra,5.79,40196806,41.91, M, 31-03-2020,19.7515,75.7139
West,Maharashtra,20.9,27689253,34.32, M, 30-04-2020,19.7515,75.7139
West,Maharashtra,15.46,32116847,37.17, M, 31-05-2020,19.7515,75.7139
West,Maharashtra,9.23,39708538,42.71, M, 30-06-2020,19.7515,75.7139
West,Maharashtra,3.89,40998545,41.57, M, 31-07-2020,19.7515,75.7139
West,Maharashtra,6.23,40963616,42.49, M, 31-08-2020,19.7515,75.7139
West,Maharashtra,4.55,42042911,42.75, M, 30-09-2020,19.7515,75.7139
West,Maharashtra,4.1,43317881,43.75, M, 31-10-2020,19.7515,75.7139
Northeast,Meghalaya,1.66,1491093,65.49, M, 31-01-2020,25.467,91.3662
Northeast,Meghalaya,3.59,1346829,60.2, M, 29-02-2020,25.467,91.3662
Northeast,Meghalaya,1.58,1482351,64.74, M, 31-03-2020,25.467,91.3662
Northeast,Meghalaya,10.03,965057,45.99, M, 30-04-2020,25.467,91.3662
Northeast,Meghalaya,5.92,1215064,55.24, M, 31-05-2020,25.467,91.3662
Northeast,Meghalaya,1.15,1350794,58.31, M, 30-06-2020,25.467,91.3662
Northeast,Meghalaya,2.1,1448106,62.96, M, 31-07-2020,25.467,91.3662
Northeast,Meghalaya,3.74,1357643,59.88, M, 31-08-2020,25.467,91.3662
Northeast,Meghalaya,4.29,1459726,64.6, M, 30-09-2020,25.467,91.3662
Northeast,Meghalaya,4.6,1381490,61.18, M, 31-10-2020,25.467,91.3662
East,Odisha,1.9,13743448,39.44, M, 31-01-2020,20.9517,85.0985
East,Odisha,3.12,14280735,41.44, M, 29-02-2020,20.9517,85.0985
East,Odisha,13.08,12272109,39.62, M, 31-03-2020,20.9517,85.0985
East,Odisha,23.76,6865693,25.23, M, 30-04-2020,20.9517,85.0985
East,Odisha,11.41,11730937,37.04, M, 31-05-2020,20.9517,85.0985
East,Odisha,3.77,12903993,37.45, M, 30-06-2020,20.9517,85.0985
East,Odisha,1.88,13614400,38.69, M, 31-07-2020,20.9517,85.0985
East,Odisha,1.42,14154039,39.96, M, 31-08-2020,20.9517,85.0985
East,Odisha,2.1,13608422,38.63, M, 30-09-2020,20.9517,85.0985
East,Odisha,2.18,14094553,39.98, M, 31-10-2020,20.9517,85.0985
South,Puducherry,0.58,457950,37.46, M, 31-01-2020,11.9416,79.8083
South,Puducherry,1.76,493961,40.8, M, 29-02-2020,11.9416,79.8083
South,Puducherry,1.2,421028,34.49, M, 31-03-2020,11.9416,79.8083
South,Puducherry,75.85,117542,39.3, M, 30-04-2020,11.9416,79.8083
South,Puducherry,58.19,172308,33.19, M, 31-05-2020,11.9416,79.8083
South,Puducherry,4.24,367135,30.8, M, 30-06-2020,11.9416,79.8083
South,Puducherry,15.47,386563,36.64, M, 31-07-2020,11.9416,79.8083
South,Puducherry,5.05,396006,33.34, M, 31-08-2020,11.9416,79.8083
South,Puducherry,10.9,411717,36.84, M, 30-09-2020,11.9416,79.8083
South,Puducherry,6.18,428419,36.32, M, 31-10-2020,11.9416,79.8083
North,Punjab,11.11,9442093,42.82, M, 31-01-2020,31.1471,75.3412
North,Punjab,10.97,9229047,41.72, M, 29-02-2020,31.1471,75.3412
North,Punjab,10.32,9975485,44.69, M, 31-03-2020,31.1471,75.3412
North,Punjab,2.86,7020565,28.99, M, 30-04-2020,31.1471,75.3412
North,Punjab,28.33,6872938,38.39, M, 31-05-2020,31.1471,75.3412
North,Punjab,16.55,8390766,40.18, M, 30-06-2020,31.1471,75.3412
North,Punjab,9.19,9732417,42.76, M, 31-07-2020,31.1471,75.3412
North,Punjab,10.99,9386169,41.99, M, 31-08-2020,31.1471,75.3412
North,Punjab,9.61,8980432,39.5, M, 30-09-2020,31.1471,75.3412
North,Punjab,9.88,8800430,38.75, M, 31-10-2020,31.1471,75.3412
North,Rajasthan,10.97,20641716,40.51, M, 31-01-2020,27.0238,74.2179
North,Rajasthan,15.16,20328915,41.77, M, 29-02-2020,27.0238,74.2179
North,Rajasthan,11.9,20024680,39.54, M, 31-03-2020,27.0238,74.2179
North,Rajasthan,17.7,15984142,33.71, M, 30-04-2020,27.0238,74.2179
North,Rajasthan,15.74,19826602,40.74, M, 31-05-2020,27.0238,74.2179
North,Rajasthan,14.39,20506612,41.38, M, 30-06-2020,27.0238,74.2179
North,Rajasthan,15.81,19932393,40.8, M, 31-07-2020,27.0238,74.2179
North,Rajasthan,17.51,20014060,41.71, M, 31-08-2020,27.0238,74.2179
North,Rajasthan,15.35,20149594,40.83, M, 30-09-2020,27.0238,74.2179
North,Rajasthan,24.15,19908808,44.92, M, 31-10-2020,27.0238,74.2179
Northeast,Sikkim,23.57,262895,60.59, M, 31-03-2020,27.533,88.5122
Northeast,Sikkim,2.28,215303,38.7, M, 30-04-2020,27.533,88.5122
Northeast,Sikkim,24.51,193427,44.88, M, 31-05-2020,27.533,88.5122
Northeast,Sikkim,4.46,221058,40.4, M, 30-06-2020,27.533,88.5122
Northeast,Sikkim,4.45,265175,48.32, M, 31-07-2020,27.533,88.5122
Northeast,Sikkim,12.49,244462,48.49, M, 31-08-2020,27.533,88.5122
Northeast,Sikkim,5.7,231798,42.54, M, 30-09-2020,27.533,88.5122
Northeast,Sikkim,0.88,242068,42.13, M, 31-10-2020,27.533,88.5122
South,Tamil Nadu,1.57,26881641,41.96, M, 31-01-2020,11.1271,78.6569
South,Tamil Nadu,2.09,27570589,43.2, M, 29-02-2020,11.1271,78.6569
South,Tamil Nadu,6.4,26830768,43.91, M, 31-03-2020,11.1271,78.6569
South,Tamil Nadu,49.83,9719167,29.63, M, 30-04-2020,11.1271,78.6569
South,Tamil Nadu,33.16,11483256,26.23, M, 31-05-2020,11.1271,78.6569
South,Tamil Nadu,12.2,19096847,33.16, M, 30-06-2020,11.1271,78.6569
South,Tamil Nadu,6.81,24572827,40.13, M, 31-07-2020,11.1271,78.6569
South,Tamil Nadu,2.65,27046415,42.22, M, 31-08-2020,11.1271,78.6569
South,Tamil Nadu,5,23025845,36.77, M, 30-09-2020,11.1271,78.6569
South,Tamil Nadu,2.16,23651626,36.62, M, 31-10-2020,11.1271,78.6569
South,Telangana,5.49,17609295,59.25, M, 31-01-2020,18.1124,79.0193
South,Telangana,8.29,16825970,58.24, M, 29-02-2020,18.1124,79.0193
South,Telangana,5.77,17341613,58.31, M, 31-03-2020,18.1124,79.0193
South,Telangana,6.25,12172230,41.06, M, 30-04-2020,18.1124,79.0193
South,Telangana,14.7,14977774,55.43, M, 31-05-2020,18.1124,79.0193
South,Telangana,10.55,15108910,53.22, M, 30-06-2020,18.1124,79.0193
South,Telangana,5.36,15679417,52.1, M, 31-07-2020,18.1124,79.0193
South,Telangana,5.79,18185429,60.59, M, 31-08-2020,18.1124,79.0193
South,Telangana,3.27,16961448,54.94, M, 30-09-2020,18.1124,79.0193
South,Telangana,2.86,17578739,56.58, M, 31-10-2020,18.1124,79.0193
Northeast,Tripura,32.67,1508130,69.69, M, 31-01-2020,23.9408,91.9882
Northeast,Tripura,28.4,1584686,68.74, M, 29-02-2020,23.9408,91.9882
Northeast,Tripura,29.95,1511217,66.89, M, 31-03-2020,23.9408,91.9882
Northeast,Tripura,41.23,971514,51.16, M, 30-04-2020,23.9408,91.9882
Northeast,Tripura,21.51,1290986,50.81, M, 31-05-2020,23.9408,91.9882
Northeast,Tripura,21.71,1494140,58.85, M, 30-06-2020,23.9408,91.9882
Northeast,Tripura,18.24,1348849,50.78, M, 31-07-2020,23.9408,91.9882
Northeast,Tripura,27.92,1318621,56.21, M, 31-08-2020,23.9408,91.9882
Northeast,Tripura,17.35,1368244,50.77, M, 30-09-2020,23.9408,91.9882
Northeast,Tripura,11.57,1576529,54.58, M, 31-10-2020,23.9408,91.9882
North,Uttar Pradesh,7.58,59433759,39.63, M, 31-01-2020,26.8467,80.9462
North,Uttar Pradesh,8.98,58060531,39.23, M, 29-02-2020,26.8467,80.9462
North,Uttar Pradesh,10.11,56976338,38.89, M, 31-03-2020,26.8467,80.9462
North,Uttar Pradesh,21.54,50915056,39.73, M, 30-04-2020,26.8467,80.9462
North,Uttar Pradesh,20.41,49801902,38.22, M, 31-05-2020,26.8467,80.9462
North,Uttar Pradesh,9.47,55380649,37.29, M, 30-06-2020,26.8467,80.9462
North,Uttar Pradesh,5.56,56201654,36.19, M, 31-07-2020,26.8467,80.9462
North,Uttar Pradesh,5.79,55831744,35.96, M, 31-08-2020,26.8467,80.9462
North,Uttar Pradesh,4.18,56106836,35.45, M, 30-09-2020,26.8467,80.9462
North,Uttar Pradesh,3.75,56539521,35.49, M, 31-10-2020,26.8467,80.9462
North,Uttarakhand,5.49,2711639,32.99, M, 31-01-2020,30.0668,79.0193
North,Uttarakhand,4.99,3020931,36.48, M, 29-02-2020,30.0668,79.0193
North,Uttarakhand,19.85,2539302,36.27, M, 31-03-2020,30.0668,79.0193
North,Uttarakhand,6.48,2720115,33.23, M, 30-04-2020,30.0668,79.0193
North,Uttarakhand,8.01,2694072,33.38, M, 31-05-2020,30.0668,79.0193
North,Uttarakhand,8.61,2656071,33.06, M, 30-06-2020,30.0668,79.0193
North,Uttarakhand,12.38,2938552,38.07, M, 31-07-2020,30.0668,79.0193
North,Uttarakhand,14.26,2717528,35.9, M, 31-08-2020,30.0668,79.0193
North,Uttarakhand,22.26,2695230,39.18, M, 30-09-2020,30.0668,79.0193
North,Uttarakhand,9.23,2739309,34.03, M, 31-10-2020,30.0668,79.0193
East,West Bengal,6.94,35820789,47.35, M, 31-01-2020,22.9868,87.855
East,West Bengal,4.92,36964178,47.74, M, 29-02-2020,22.9868,87.855
East,West Bengal,6.92,35903917,47.27, M, 31-03-2020,22.9868,87.855
East,West Bengal,17.41,26938836,39.9, M, 30-04-2020,22.9868,87.855
East,West Bengal,17.41,28356675,41.92, M, 31-05-2020,22.9868,87.855
East,West Bengal,7.29,30726310,40.39, M, 30-06-2020,22.9868,87.855
East,West Bengal,6.83,35372506,46.17, M, 31-07-2020,22.9868,87.855
East,West Bengal,14.87,33298644,47.48, M, 31-08-2020,22.9868,87.855
East,West Bengal,9.35,35707239,47.73, M, 30-09-2020,22.9868,87.855
East,West Bengal,9.98,33962549,45.63, M, 31-10-2020,22.9868,87.855
